test_farms,val_farms,train_farms,mean_rho,std_rho,mean_r2,std_r2,mean_rmse,mean_mae,mean_n_train,mean_n_val,mean_n_test
7,8,66,0.5738052694620138,0.24915180238984574,0.3485028538439009,0.3525619278564034,24.682730511850437,19.288333774606386,887.7444444444444,105.8,91.45555555555555
12,4,65,0.5735612730410431,0.23112277677220794,0.29677887823846605,0.3755482771790968,25.75102793823744,19.185919112463793,863.2444444444444,57.12222222222222,164.63333333333333
10,4,67,0.5728832348921371,0.24628350920495504,0.30517952375941804,0.3617486661035329,26.19596422949534,20.12362035959959,900.8444444444444,52.422222222222224,131.73333333333332
10,5,66,0.5728365440812182,0.2241237905649269,0.3309464845392439,0.3360747431365337,25.501515839054704,19.435982175750866,895.3555555555556,64.32222222222222,125.32222222222222
7,4,70,0.5716676492000797,0.2496452778652445,0.2502189152770572,0.44789768130999147,27.516369982177817,20.778977205024827,931.2222222222222,56.65555555555556,97.12222222222222
12,8,61,0.5706210976938765,0.2083579065149345,0.34301473233434887,0.356815887717933,24.35549047565878,18.555366867615117,809.4222222222222,107.04444444444445,168.53333333333333
14,15,52,0.5702155939578891,0.20358054001031173,0.35485272738668655,0.340526108186559,25.675346213550103,19.549905389547348,690.0888888888888,203.7888888888889,191.12222222222223
12,5,64,0.5692560803492015,0.21251358505460932,0.3519180105792152,0.3232811890059194,24.479099197272145,18.40761832329962,857.8888888888889,67.75555555555556,159.35555555555555
7,10,64,0.5689289755983761,0.2839494287243956,0.30807254446877375,0.40036611930973276,24.986046019352028,19.48631188488669,853.2,137.98888888888888,93.81111111111112
14,12,55,0.5663078000559558,0.20956318437238683,0.35888572335243224,0.29304803458592044,26.60160774300655,20.028764071729448,730.7444444444444,162.24444444444444,192.01111111111112
10,15,56,0.566227400060714,0.20457699172199523,0.3149578485223982,0.5833735910440765,26.205959059840684,20.21688741495212,755.1222222222223,200.07777777777778,129.8
8,15,58,0.5656323403814457,0.24288547205709524,0.32366853687498304,0.3584675832092591,25.7163000949247,19.420083526108,776.5666666666667,199.0,109.43333333333334
8,8,65,0.5636068382137467,0.23015617467362948,0.34112150934007435,0.35161046102902566,23.793072647246944,17.915296823614174,873.5333333333333,105.4,106.06666666666666
14,8,59,0.5580040343725494,0.19459378933626842,0.29708511100875007,0.356697515457969,26.911407047289313,20.345827400684357,790.0777777777778,110.7,184.22222222222223
8,12,61,0.5560736904607815,0.27805593215599095,0.291403552558687,0.3839420645836049,25.203131730231746,18.80870628423161,816.4333333333333,158.23333333333332,110.33333333333333
4,12,65,0.5532284632166237,0.28862104692366497,0.17314102583461338,0.4993876937474433,25.70315790683302,19.593564796696107,872.1,157.62222222222223,55.27777777777778
10,12,59,0.5512474967210955,0.2508451892963637,0.3141436047024197,0.39636260847878174,25.97792235771334,19.737046011785665,784.2,168.13333333333333,132.66666666666666
5,15,61,0.5486997135510918,0.3162811221767694,0.1734048002296024,0.5392473354704072,27.769787885770928,20.680582403060463,817.1777777777778,199.15555555555557,68.66666666666667
6,8,67,0.5475516270637146,0.2741212040968894,0.2498086386256748,0.4361626327038956,25.40827935438451,19.601155567334757,896.5333333333333,104.81111111111112,83.65555555555555
6,5,70,0.5455706886748667,0.29323046850195694,0.22448945575290255,0.5089739792419197,24.520906479507836,18.82945360077752,934.6777777777778,66.85555555555555,83.46666666666667
8,10,63,0.5439638283022412,0.2585852067019212,0.3016568846172757,0.30780112111779256,25.22535199333441,19.25430182615916,836.8111111111111,137.17777777777778,111.0111111111111
5,6,70,0.5437650766969353,0.27790935086076923,0.1902068018913269,0.492561685489901,25.51947948382704,19.594678661227228,935.4666666666667,79.67777777777778,69.85555555555555
4,15,62,0.5426561601385643,0.2887952491574202,0.21920432183477614,0.47866537592874675,24.55305099887837,19.182578698380127,831.5222222222222,201.9111111111111,51.56666666666667
14,4,63,0.5417940840343711,0.22548175078506297,0.3451254864533742,0.31778076308788916,26.746489378129034,20.429937200579378,847.6777777777778,53.75555555555555,183.56666666666666
7,15,59,0.5383006092093486,0.27474622851071506,0.27100298802057904,0.45996915792286824,26.604559884502077,20.35656880595618,788.2555555555556,200.1,96.64444444444445
6,10,65,0.5360168515340367,0.283046637380658,0.27985568245251974,0.38524541239962323,26.132545443880993,20.242166391015054,873.6888888888889,134.7888888888889,76.52222222222223
5,8,68,0.5329417158959756,0.341256212749188,0.23865343862109714,0.6114914422387903,27.288853866633623,21.46569669230117,916.1111111111111,102.18888888888888,66.7
10,8,63,0.5263412068279175,0.2186780307413637,0.28488182756635877,0.37474195248179715,25.87629476262055,19.750723891125784,845.5777777777778,109.73333333333333,129.6888888888889
7,5,69,0.5260655273607678,0.2953969483714288,0.20018682612313166,0.6053289871397795,27.075977194663917,20.861115510513386,927.9777777777778,66.27777777777777,90.74444444444444
4,4,73,0.5246730111798397,0.3582468317849945,0.07307722767194112,0.7171662503304582,27.43308117834196,20.871405693888665,978.0222222222222,52.81111111111111,54.166666666666664
6,12,63,0.524415961033556,0.3069757518956062,0.2125744660695394,0.5577402293795597,25.85587967768095,19.94359115097258,841.9666666666667,162.27777777777777,80.75555555555556
6,15,60,0.5234875505055908,0.28368310715180534,0.23644777999983893,0.43797725983019553,26.038511574575256,19.94332855194807,805.0,200.5222222222222,79.47777777777777
8,6,67,0.5230095834949952,0.2655662740391944,0.24181002775828045,0.4614430359108888,24.4328884417018,18.786038556860554,906.2888888888889,77.72222222222223,100.9888888888889
6,6,69,0.5221184798965142,0.30808502371727553,0.25440143744150795,0.43649003887426246,24.651800613241505,19.35185020416975,920.2555555555556,81.41111111111111,83.33333333333333
5,4,72,0.516003711675528,0.2925046855920064,0.22020526395903695,0.5408822897968022,24.910522199423408,19.264343874570397,965.5444444444445,51.77777777777778,67.67777777777778
4,5,72,0.5149217075476392,0.35423971581464403,0.17335897352960375,0.5503518252855066,25.516523831317485,19.906401702099377,963.0555555555555,68.28888888888889,53.65555555555556
7,12,62,0.5135368269615138,0.24375628224179346,0.23881153795454238,0.3791716418199951,25.012297369324006,19.131092819902634,830.9555555555555,160.26666666666668,93.77777777777777
4,6,71,0.5038497975307372,0.35264726840793637,0.15250055326355827,0.7572267725309682,25.95585178946622,20.21396711534924,953.4888888888889,79.37777777777778,52.13333333333333
5,10,66,0.4909773629140199,0.3291626062856452,0.21727535724639893,0.41920518763376907,25.692481847096925,19.92262442799078,888.4222222222222,131.98888888888888,64.58888888888889
4,8,69,0.4775287669962858,0.3326173128026102,0.06351937320497301,0.6408468414351293,22.476663383203284,17.68738970938656,919.0888888888888,112.37777777777778,53.53333333333333
4,10,67,0.4051958532204115,0.37576733752871394,0.0382428957356347,0.6079160041142758,24.17517741875367,18.744348552574714,896.8555555555556,138.11111111111111,50.03333333333333
